"Chengyu Hu and
Jing Zhao and
Xuesong Yan and
Qi Wang and
Yuankui Cao","A MapReduce based Parallel Niche Genetic Algorithm for contaminant
source identification in water distribution network",Ad Hoc Networks,"2015, 35()",4
"Hong Yao and
Changmin Bai and
Qi Wang and
Qingzhong Liang and
Yuanyuan Fan","Migrate or not? Exploring virtual machine migration in roadside cloudlet-based
vehicular cloud",Concurrency and Computation: Practice and Experience,"2015, 27(18)",3
"Hong Yao and
Changmin Bai and
Zitong Wang and
Qi Wang and
Zhangjie Fu","Heterogeneous cloudlet deployment and user-cloudlet association toward
cost effective fog computing",Concurrency and Computation: Practice and Experience,"2017, 29(16)",4
"Hong Yao and
Guang Yang and
Qi Wang and
Chao Liu and
Qingzhong Liang and
Chengyu Hu","An Advertiser-Centric Cooperative Mechanism in Smartphone Advertising
Based on Stackelberg Game Analysis",Int. J. Web Service Res.,"2015, 12(4)",3
"Hong Yao and
Han Zhang and
Changkai Zhang and
Qi Wang and
Jie Wu and
Huanyang Zheng",Data or index: a trade-off in mobile delay tolerant networks,IJCSE,"2017, 14(4)",4
"Hong Yao and
Huawei Huang and
Qi Wang and
Bo Li and
Yuankui Cao","An energy-aware deadline-constrained message delivery in delay-tolerant
networks",Wireless Networks,"2014, 20(7)",3
"Hong Yao and
Jinlai Xu and
Zhongwen Luo and
Qi Wang",MEMoMR: Accelerate MapReduce via reuse of intermediate results,Concurrency and Computation: Practice and Experience,"2016, 28(14)",4
"Hong Yao and
Qi Wang and
Huawei Huang and
Yuankui Cao and
Ahmed Barnawi and
Ivan Stojmenovic","Opportunistic Offloading of Deadline-Constrained Bulk Cellular Traffic
in Vehicular DTNs",IEEE Trans. Computers,"2015, 64(12)",2
"Jinsong Wu and
Yuankui Cao and
Jie Li and
Qi Wang",Big Data Meet Green Challenges: Big Data Toward Green Applications,IEEE Systems Journal,"2016, 10(3)",4
"Jinsong Wu and
Yuankui Cao and
Jie Li and
Qi Wang",Big Data Meet Green Challenges: Greening Big Data,IEEE Systems Journal,"2016, 10(3)",4
"Kaimin Wei and
Qi Wang and
Yuankui Cao and
Ke Xu","On Social Delay-Tolerant Networking: Aggregation, Tie Detection, and
Routing",IEEE Trans. Parallel Distrib. Syst.,"2014, 25(6)",2
"Kaimin Wei and
Yuankui Cao and
Qi Wang and
Ke Xu and
Keqiu Li","Exploiting Small World Properties for Message Forwarding in Delay
Tolerant Networks",IEEE Trans. Computers,"2015, 64(10)",3
"Kaimin Wei and
Yuankui Cao and
Xiangli Li and
Qi Wang and
Ke Xu","Congestion control in social-based sensor networks: {A} social network
perspective",Peer-to-Peer Networking and Applications,"2016, 9(4)",4
"Kun Wang and
Li Yuan and
Toshiaki Miyazaki and
Qi Wang and
Yuankui Cao and
Yanfei Sun","Strategic Antieavesdropping Game for Physical Layer Security in Wireless
Cooperative Networks",IEEE Trans. Vehicular Technology,"2017, 66(10)",4
