"San Zhang and
Wu Wang and
Zixue Cheng",The Web of Things: A Survey Invited Paper,JCM,"2018, 6(6)",1
"San Zhang and
Liu Zhao and
Bo Li",Editorial for Special Issue on Social Computing,MONET,"2017, 22(2)",1
"San Zhang and
Jie Zhang and
Liu Zhao and
Lin Gu and
Kun Wang",Take Renewable Energy into {CRAN} toward Green Wireless Access Networks,IEEE Network,"2017, 31(4)",1
"San Zhang and
Lin Gu and
Liu Zhao and
Zixue Cheng and
Shui Yu","Joint Optimization of Task Scheduling and Image Placement in Fog Computing
Supported Software-Defined Embedded System",IEEE Trans. Computers,"2016, 65(12)",1
"San Zhang and
Lin Gu and
Lu Lian and
Liu Zhao and
Si Li and
Jiankun Hu","On Cost-Efficient Sensor Placement for Contaminant Detection in Water
Distribution Systems",IEEE Trans. Industrial Informatics,"2016, 12(6)",1
"San Zhang and
Liu Zhao and
Huawei Huang and
Shui Yu and
Victor C. M. Leung","Optimal {VM} placement in data centres with architectural and resource
constraints",IJAACS,"2015, 8(4)",1
"San Zhang and
Liu Zhao and
Ahmed Barnawi and
Shui Yu and
Ivan Stojmenovic","An Improved Stochastic Modeling of Opportunistic Routing in Vehicular
{CPS}",IEEE Trans. Computers,"2015, 64(7)",1
"San Zhang and
Peng Li and
Liu Zhao and
Toshiaki Miyazaki and
Jiankun Hu and
Yong Xiang",Energy Minimization in Multi-Task Software-Defined Sensor Networks,IEEE Trans. Computers,"2015, 64(11)",1
"San Zhang and
Liu Zhao and
Yong Xiang and
Hai Jin",On the Throughput of Two-Way Relay Networks Using Network Coding,IEEE Trans. Parallel Distrib. Syst.,"2014, 25(1)",1
"San Zhang and
Liu Zhao and
Jiankun Hu",Reliable Bulk-Data Dissemination in Delay Tolerant Networks,IEEE Trans. Parallel Distrib. Syst.,"2014, 25(8)",1
San Zhang and Wu Wang and Zixue Cheng,The Web of Things: {A} Survey (Invited Paper),JCM,"2011, 6(6)",1
"Lin Gu and
San Zhang and
Liu Zhao and
Ahmed Barnawi and
Yong Xiang","Cost Efficient Resource Management in Fog Computing Supported Medical
Cyber-Physical System",IEEE Trans. Emerging Topics Comput.,"2017, 5(1)",2
"Lin Gu and
San Zhang and
Liu Zhao and
Yong Xiang and
Jiankun Hu","A General Communication Cost Optimization Framework for Big Data Stream
Processing in Geo-Distributed Data Centers",IEEE Trans. Computers,"2016, 65(1)",2
"Wei{-}Lun Chang and
San Zhang and
Rung{-}Ching Chen and
Liu Zhao","An artificial bee colony algorithm for data collection path planning
in sparse wireless sensor networks",Int. J. Machine Learning \& Cybernetics,"2015, 6(3)",2
"Lin Gu and
San Zhang and
Ahmed Barnawi and
Liu Zhao and
Ivan Stojmenovic","Optimal Task Placement with QoS Constraints in Geo-Distributed Data
Centers Using {DVFS}",IEEE Trans. Computers,"2015, 64(7)",2
"Si Li and
San Zhang and
Huawei Huang and
Liu Zhao and
Ahmed Barnawi and
Ivan Stojmenovic","Opportunistic Offloading of Deadline-Constrained Bulk Cellular Traffic
in Vehicular DTNs",IEEE Trans. Computers,"2015, 64(12)",2
"Lin Gu and
San Zhang and
Peng Li and
Liu Zhao","Cost Minimization for Big Data Processing in Geo-Distributed Data
Centers",IEEE Trans. Emerging Topics Comput.,"2014, 2(3)",2
"Kaimin Wei and
San Zhang and
Liu Zhao and
Ke Xu","On Social Delay-Tolerant Networking: Aggregation, Tie Detection, and
Routing",IEEE Trans. Parallel Distrib. Syst.,"2014, 25(6)",2
"Liu Zhao and
San Zhang and
Yang Xiang",Chameleon Hashing for Secure and Privacy-Preserving Vehicular Communications,IEEE Trans. Parallel Distrib. Syst.,"2014, 25(11)",2
"Zhuo Li and
San Zhang and
Liu Zhao and
Sanglu Lu and
Daoxu Chen and
Weihua Zhuang","On the Throughput of Feedbackless Segmented Network Coding in Delay
Tolerant Networks",IEEE Wireless Commun. Letters,"2012, 1(2)",2
"Kun Wang and
Yihui Wang and
San Zhang and
Liu Zhao",An SDN-Based Architecture for Next-Generation Wireless Networks,IEEE Wireless Commun.,"2017, 24(1)",3
"Si Li and
Changmin Bai and
San Zhang and
Qingzhong Liang and
Yuanyuan Fan","Migrate or not? Exploring virtual machine migration in roadside cloudlet-based
vehicular cloud",Concurrency and Computation: Practice and Experience,"2015, 27(18)",3
"Si Li and
Guang Yang and
San Zhang and
Chao Liu and
Qingzhong Liang and
Chengyu Hu","An Advertiser-Centric Cooperative Mechanism in Smartphone Advertising
Based on Stackelberg Game Analysis",Int. J. Web Service Res.,"2015, 12(4)",3
"Kaimin Wei and
Liu Zhao and
San Zhang and
Ke Xu and
Keqiu Li","Exploiting Small World Properties for Message Forwarding in Delay
Tolerant Networks",IEEE Trans. Computers,"2015, 64(10)",3
"Zhuo Li and
Liu Zhao and
San Zhang and
Ahmed Barnawi and
Ivan Stojmenovic",Joint Resource Allocation for Max-Min Throughput in Multicell Networks,IEEE Trans. Vehicular Technology,"2014, 63(9)",3
"Si Li and
Huawei Huang and
San Zhang and
Bo Li and
Liu Zhao","An energy-aware deadline-constrained message delivery in delay-tolerant
networks",Wireless Networks,"2014, 20(7)",3
"Si Li and
Changmin Bai and
Muzhou Xiong and
San Zhang and
Xian Gong","Heterogeneous cloudlet deployment and user-cloudlet association toward
cost effective fog computing",Concurrency and Computation: Practice and Experience,"2017, 29(16)",4
"Si Li and
Han Zhang and
Wu Wang and
San Zhang and
Jie Wu and
Huanyang Zheng",Data or index: a trade-off in mobile delay tolerant networks,IJCSE,"2017, 14(4)",4
"Kun Wang and
Li Yuan and
Toshiaki Miyazaki and
San Zhang and
Liu Zhao and
Yanfei Sun","Strategic Antieavesdropping Game for Physical Layer Security in Wireless
Cooperative Networks",IEEE Trans. Vehicular Technology,"2017, 66(10)",4
"Si Li and
Jinlai Xu and
Zhongwen Luo and
San Zhang",MEMoMR: Accelerate MapReduce via reuse of intermediate results,Concurrency and Computation: Practice and Experience,"2016, 28(14)",4
"Kaimin Wei and
Liu Zhao and
Xiangli Li and
San Zhang and
Ke Xu","Congestion control in social-based sensor networks: {A} social network
perspective",Peer-to-Peer Networking and Applications,"2016, 9(4)",4
"Jinsong Wu and
Liu Zhao and
Jie Li and
San Zhang",Big Data Meet Green Challenges: Greening Big Data,IEEE Systems Journal,"2016, 10(3)",4
"Jinsong Wu and
Liu Zhao and
Jie Li and
San Zhang",Big Data Meet Green Challenges: Big Data Toward Green Applications,IEEE Systems Journal,"2016, 10(3)",4
"Chengyu Hu and
Jing Zhao and
Xuesong Yan and
San Zhang and
Liu Zhao","A MapReduce based Parallel Niche Genetic Algorithm for contaminant
source identification in water distribution network",Ad Hoc Networks,"2015, 35()",4
"Yu Zhang and
Lin Gu and
Xiaofei Liao and
Hai Jin and
San Zhang and
Bing Bing Zhou",{FRANK:} {A} Fast Node Ranking Approach in Large-Scale Networks,IEEE Network,"2017, 31(1)",5
"Kun Wang and
Xiaoxuan Hu and
Huining Li and
Peng Li and
San Zhang and
Liu Zhao",A Survey on Energy Internet Communications for Sustainability,T-SUSC,"2017, 2(3)",5
